lr,seed,global_episode,train_mean_reward,eval_mean_reward,time_seconds
0.1,100,420,14.9,22.6,2.950429916381836
0.1,100,430,18.6,24.3,3.0708730220794678
0.1,100,440,17.8,24.36,3.1920039653778076
0.1,100,450,20.6,24.55,3.317348003387451
0.1,100,460,17.1,25.08,3.4383091926574707
0.1,100,470,18.4,32.15,3.5828070640563965
0.1,100,480,20.3,36.68,3.745715856552124
0.1,100,490,18.2,50.32,3.948333978652954
0.1,100,500,27.6,56.27,4.195176839828491
0.1,110,10,16.6,9.33,0.06708192825317383
0.1,110,20,16.2,9.33,0.1328279972076416
0.1,110,30,16.7,9.33,0.1997058391571045
0.1,110,40,15.3,9.33,0.2646300792694092
0.1,110,50,21.1,9.33,0.3403458595275879
0.1,110,60,19.0,9.43,0.4116849899291992
0.1,110,70,22.3,9.38,0.49081873893737793
0.1,110,80,27.7,9.32,0.579777717590332
0.1,110,90,17.0,9.4,0.6474030017852783
0.1,110,100,19.2,9.39,0.7194218635559082
0.1,110,110,18.0,9.57,0.7900428771972656
0.1,110,120,25.9,9.53,0.8770508766174316
0.1,110,130,25.5,11.93,0.9707658290863037
0.1,110,140,27.2,22.18,1.1020827293395996
0.1,110,150,29.0,36.58,1.2885959148406982
0.1,110,160,23.1,58.39,1.5323379039764404
0.1,110,170,30.3,76.75,1.8469820022583008
0.1,110,180,31.2,97.5,2.23360276222229
0.1,110,190,24.2,120.11,2.6809499263763428
0.1,110,200,40.7,125.25,3.1893699169158936
0.1,110,210,31.3,141.05,3.720376968383789
0.1,110,220,41.0,153.04,4.341073036193848
0.1,110,230,35.4,173.08,4.984032869338989
0.1,110,240,42.5,185.26,5.704873085021973
0.1,110,250,35.7,188.15,6.399601936340332
0.1,110,260,46.5,183.92,7.090954065322876
0.1,110,270,35.6,191.12,7.779331922531128
0.1,110,280,42.8,189.28,8.498548984527588
0.1,110,290,55.0,216.5,9.317937850952148
0.1,110,300,54.3,214.17,10.120897054672241
0.1,110,310,73.2,221.83,11.007731914520264
0.1,110,320,73.0,237.68,11.93668007850647
0.1,110,330,79.7,246.1,12.921323776245117
0.1,110,340,53.4,263.71,13.888028860092163
0.1,110,350,114.0,267.77,15.036833763122559
0.1,110,360,50.0,258.9,15.993603944778442
0.1,110,370,75.7,270.72,17.041515827178955
0.1,110,380,76.0,291.78,18.170838832855225
0.1,110,390,89.7,296.78,19.30880093574524
0.1,110,400,113.6,300.8,20.507617712020874
0.1,110,410,119.4,307.04,21.75969099998474
0.1,110,420,101.2,316.52,23.01293396949768
0.1,110,430,138.3,319.14,24.38470196723938
0.1,110,440,131.7,327.06,25.722193002700806
0.1,110,450,94.1,335.31,27.014355897903442
0.1,110,460,98.9,336.37,28.36476707458496
0.1,110,470,122.0,347.6,29.79809284210205
0.1,110,480,115.1,340.92,31.190680742263794
0.1,110,490,118.1,345.55,32.55507206916809
0.1,110,500,151.8,351.8,33.994590044021606
0.1,120,10,27.1,18.22,0.12286376953125
0.1,120,20,25.5,24.86,0.26061296463012695
0.1,120,30,24.7,46.51,0.5064010620117188
0.1,120,40,29.6,55.86,0.7530896663665771
0.1,120,50,22.8,57.26,0.9893367290496826
0.1,120,60,24.7,67.3,1.2595410346984863
0.1,120,70,39.2,81.91,1.6342988014221191
0.1,120,80,27.6,145.81,2.1875007152557373
0.1,120,90,42.9,322.03,3.436460018157959
0.1,120,100,32.0,201.79,4.185065031051636
0.1,120,110,34.1,242.03,5.070330858230591
0.1,120,120,33.9,168.01,5.715857982635498
0.1,120,130,37.1,184.08,6.405050754547119
0.1,120,140,30.2,207.49,7.174988746643066
0.1,120,150,42.8,201.56,7.939786911010742
0.1,120,160,44.7,205.56,8.747814893722534
0.1,120,170,27.9,168.5,9.365692853927612
0.1,120,180,57.4,187.04,10.125239133834839
0.1,120,190,63.2,178.91,10.846935749053955
